Location,Program,jobNumber,database,domn,outfile,countries,repestoptions,coverage,param1,param2
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_stats.do,job_ch7_11,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",NULL,I_B1_7_2_2_escs_immback_2018,"""CNT2022""",flag,pisacoverage,escs,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_stats.do,job_ch7_12,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",NULL,I_B1_7_2_2_escs_immig_2018,"""CNT2022""",flag,pisacoverage,escs,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_13,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",NULL,I_B1_7_2_2_low_immback_2012,"""CNT2022""",flag,pisacoverage,low_escs,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_14,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",NULL,I_B1_7_2_2_low_immig_2012,"""CNT2022""",flag,pisacoverage,low_escs,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_15,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",NULL,I_B1_7_2_2_high_immback_2012,"""CNT2022""",flag,pisacoverage,high_escs,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_16,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",NULL,I_B1_7_2_2_high_immig_2012,"""CNT2022""",flag,pisacoverage,high_escs,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_17,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",NULL,I_B1_7_2_2_low_immback_2015,"""CNT2022""",flag,pisacoverage,low_escs,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_18,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",NULL,I_B1_7_2_2_low_immig_2015,"""CNT2022""",flag,pisacoverage,low_escs,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_19,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",NULL,I_B1_7_2_2_high_immback_2015,"""CNT2022""",flag,pisacoverage,high_escs,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_20,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",NULL,I_B1_7_2_2_high_immig_2015,"""CNT2022""",flag,pisacoverage,high_escs,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_21,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",NULL,I_B1_7_2_2_low_immback_2018,"""CNT2022""",flag,pisacoverage,low_escs,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_22,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",NULL,I_B1_7_2_2_low_immig_2018,"""CNT2022""",flag,pisacoverage,low_escs,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_23,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",NULL,I_B1_7_2_2_high_immback_2018,"""CNT2022""",flag,pisacoverage,high_escs,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_24,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",NULL,I_B1_7_2_2_high_immig_2018,"""CNT2022""",flag,pisacoverage,high_escs,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_25,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",NULL,I_B1_7_3_2_immback_2012,"""CNT2022""",flag,pisacoverage,difflang,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_26,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",NULL,I_B1_7_3_2_immig_2012,"""CNT2022""",flag,pisacoverage,difflang,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_freq.do,job_ch7_27,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",NULL,I_B1_7_3_2_all_2012,"""CNT2022""",flag,pisacoverage,difflang,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_28,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",NULL,I_B1_7_3_2_immback_2015,"""CNT2022""",flag,pisacoverage,difflang,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_29,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",NULL,I_B1_7_3_2_immig_2015,"""CNT2022""",flag,pisacoverage,difflang,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_freq.do,job_ch7_30,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",NULL,I_B1_7_3_2_all_2015,"""CNT2022""",flag,pisacoverage,difflang,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_31,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",NULL,I_B1_7_3_2_immback_2018,"""CNT2022""",flag,pisacoverage,difflang,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_levels.do,job_ch7_32,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",NULL,I_B1_7_3_2_immig_2018,"""CNT2022""",flag,pisacoverage,difflang,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_freq.do,job_ch7_33,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",NULL,I_B1_7_3_2_all_2018,"""CNT2022""",flag,pisacoverage,difflang,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_freq_7_4.do,job_ch7_34,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",NULL,I_B1_7_4_2012,"""CNT2022""",flag,pisacoverage,arrival,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_freq_7_4.do,job_ch7_35,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",NULL,I_B1_7_4_2015,"""CNT2022""",flag,pisacoverage,arrival,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_freq_7_4.do,job_ch7_36,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",NULL,I_B1_7_4_2018,"""CNT2022""",flag,pisacoverage,arrival,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_37,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",math,I_B1_7_idr_math2012_immback,"""CNT2022""",flag,pisacoverage,betalog,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_38,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",math,I_B1_7_idr_math2015_immback,"""CNT2022""",flag,pisacoverage,betalog,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_39,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",math,I_B1_7_idr_math2018_immback,"""CNT2022""",flag,pisacoverage,betalog,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_40,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",math,I_B1_7_idr_math2012_immig,"""CNT2022""",flag,pisacoverage,betalog,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_41,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",math,I_B1_7_idr_math2015_immig,"""CNT2022""",flag,pisacoverage,betalog,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_42,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",math,I_B1_7_idr_math2018_immig,"""CNT2022""",flag,pisacoverage,betalog,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_43,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",read,I_B1_7_idr_read2012_immback,"""CNT2022""",flag,pisacoverage,betalog,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_44,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",read,I_B1_7_idr_read2015_immback,"""CNT2022""",flag,pisacoverage,betalog,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_45,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",read,I_B1_7_idr_read2018_immback,"""CNT2022""",flag,pisacoverage,betalog,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_46,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",read,I_B1_7_idr_read2012_immig,"""CNT2022""",flag,pisacoverage,betalog,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_47,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",read,I_B1_7_idr_read2015_immig,"""CNT2022""",flag,pisacoverage,betalog,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_48,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",read,I_B1_7_idr_read2018_immig,"""CNT2022""",flag,pisacoverage,betalog,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_49,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",scie,I_B1_7_idr_scie2012_immback,"""CNT2022""",flag,pisacoverage,betalog,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_50,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",scie,I_B1_7_idr_scie2015_immback,"""CNT2022""",flag,pisacoverage,betalog,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_51,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",scie,I_B1_7_idr_scie2018_immback,"""CNT2022""",flag,pisacoverage,betalog,immback
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_52,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",scie,I_B1_7_idr_scie2012_immig,"""CNT2022""",flag,pisacoverage,betalog,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_53,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",scie,I_B1_7_idr_scie2015_immig,"""CNT2022""",flag,pisacoverage,betalog,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7.do,job_ch7_54,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",scie,I_B1_7_idr_scie2018_immig,"""CNT2022""",flag,pisacoverage,betalog,immig
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7_nolog.do,job_ch7_55,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",math,I_B1_7_6_math2012,"""CNT2022""",flag,pisacoverage,same_immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7_nolog.do,job_ch7_56,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",math,I_B1_7_6_math2015,"""CNT2022""",flag,pisacoverage,same_immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7_nolog.do,job_ch7_57,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",math,I_B1_7_6_math2018,"""CNT2022""",flag,pisacoverage,same_immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7_nolog.do,job_ch7_58,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",read,I_B1_7_6_read2012,"""CNT2022""",flag,pisacoverage,same_immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7_nolog.do,job_ch7_59,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",read,I_B1_7_6_read2015,"""CNT2022""",flag,pisacoverage,same_immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_stats7_nolog.do,job_ch7_60,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",read,I_B1_7_6_read2018,"""CNT2022""",flag,pisacoverage,same_immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_61,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",math,I_B1_7_7_math_immback_2012,"""CNT2022""",flag,pisacoverage,immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_62,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",math,I_B1_7_7_math_immback_2015,"""CNT2022""",flag,pisacoverage,immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_63,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",math,I_B1_7_7_math_immback_2018,"""CNT2022""",flag,pisacoverage,immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_64,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",math,I_B1_7_7_math_immig_2012,"""CNT2022""",flag,pisacoverage,immig,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_65,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",math,I_B1_7_7_math_immig_2015,"""CNT2022""",flag,pisacoverage,immig,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_66,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",math,I_B1_7_7_math_immig_2018,"""CNT2022""",flag,pisacoverage,immig,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_67,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",read,I_B1_7_7_read_immback_2012,"""CNT2022""",flag,pisacoverage,immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_68,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",read,I_B1_7_7_read_immback_2015,"""CNT2022""",flag,pisacoverage,immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_69,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",read,I_B1_7_7_read_immback_2018,"""CNT2022""",flag,pisacoverage,immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_70,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",read,I_B1_7_7_read_immig_2012,"""CNT2022""",flag,pisacoverage,immig,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_71,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",read,I_B1_7_7_read_immig_2015,"""CNT2022""",flag,pisacoverage,immig,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_72,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",read,I_B1_7_7_read_immig_2018,"""CNT2022""",flag,pisacoverage,immig,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_73,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",scie,I_B1_7_7_scie_immback_2012,"""CNT2022""",flag,pisacoverage,immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_74,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",scie,I_B1_7_7_scie_immback_2015,"""CNT2022""",flag,pisacoverage,immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_75,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",scie,I_B1_7_7_scie_immback_2018,"""CNT2022""",flag,pisacoverage,immback,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_76,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",scie,I_B1_7_7_scie_immig_2012,"""CNT2022""",flag,pisacoverage,immig,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_77,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",scie,I_B1_7_7_scie_immig_2015,"""CNT2022""",flag,pisacoverage,immig,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_levels7.do,job_ch7_78,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",scie,I_B1_7_7_scie_immig_2018,"""CNT2022""",flag,pisacoverage,immig,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_linreg_bef.do,job_ch7_79,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",math,I_B1_7_5_math_2012_bef,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_linreg_bef.do,job_ch7_80,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",math,I_B1_7_5_math_2015_bef,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_linreg_bef.do,job_ch7_81,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",math,I_B1_7_5_math_2018_bef,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_linreg_bef.do,job_ch7_82,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",read,I_B1_7_5_read_2012_bef,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_linreg_bef.do,job_ch7_83,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",read,I_B1_7_5_read_2015_bef,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_linreg_bef.do,job_ch7_84,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",read,I_B1_7_5_read_2018_bef,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_linreg_aft.do,job_ch7_85,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",math,I_B1_7_5_math_2012_aft,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_linreg_aft.do,job_ch7_86,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",math,I_B1_7_5_math_2015_aft,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_linreg_aft.do,job_ch7_87,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",math,I_B1_7_5_math_2018_aft,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_linreg_aft.do,job_ch7_88,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",read,I_B1_7_5_read_2012_aft,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_linreg_aft.do,job_ch7_89,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",read,I_B1_7_5_read_2015_aft,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_linreg_aft.do,job_ch7_90,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",read,I_B1_7_5_read_2018_aft,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_bef.do,job_ch7_91,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",math,I_B1_7_7_math_log_2012_bef,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_bef.do,job_ch7_92,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",math,I_B1_7_7_math_log_2015_bef,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_bef.do,job_ch7_93,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2018.dta""",math,I_B1_7_7_math_log_2018_bef,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_bef.do,job_ch7_94,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2012.dta""",read,I_B1_7_7_read_log_2012_bef,"""CNT2022""",flag,pisacoverage,NULL,NULL
V:\PISA_INITIALREPORT_2022\sandbox\Trends_CH7\,trends_imm_logreg_bef.do,job_ch7_95,"""V:\PISA_INITIALREPORT_2022\sandbox\Volume I\Infile\I_B1_2015.dta""",read,I_B1_7_7_read_log_2015_bef,"""CNT2022""",flag,pisacoverage,NULL,NULL
